Using device: cpu
Episode 001/400 | Reward: 9.0 | Epsilon: 0.9950 | Loss: 0.000000
Episode 002/400 | Reward: 33.0 | Epsilon: 0.9900 | Loss: 0.000000
Episode 003/400 | Reward: 19.0 | Epsilon: 0.9851 | Loss: 0.000000
Episode 004/400 | Reward: 23.0 | Epsilon: 0.9801 | Loss: 0.394408
Episode 005/400 | Reward: 28.0 | Epsilon: 0.9752 | Loss: 0.038329
Episode 006/400 | Reward: 10.0 | Epsilon: 0.9704 | Loss: 0.004554
Episode 007/400 | Reward: 11.0 | Epsilon: 0.9655 | Loss: 0.001846
Episode 008/400 | Reward: 30.0 | Epsilon: 0.9607 | Loss: 0.000645
Episode 009/400 | Reward: 15.0 | Epsilon: 0.9559 | Loss: 0.000277
Episode 010/400 | Reward: 30.0 | Epsilon: 0.9511 | Loss: 0.000176
Episode 011/400 | Reward: 16.0 | Epsilon: 0.9464 | Loss: 0.345154
Episode 012/400 | Reward: 13.0 | Epsilon: 0.9416 | Loss: 0.083475
Episode 013/400 | Reward: 22.0 | Epsilon: 0.9369 | Loss: 0.053309
Episode 014/400 | Reward: 45.0 | Epsilon: 0.9322 | Loss: 0.036763
Episode 015/400 | Reward: 22.0 | Epsilon: 0.9276 | Loss: 0.032437
Episode 016/400 | Reward: 11.0 | Epsilon: 0.9229 | Loss: 0.030752
Episode 017/400 | Reward: 15.0 | Epsilon: 0.9183 | Loss: 0.034735
Episode 018/400 | Reward: 16.0 | Epsilon: 0.9137 | Loss: 0.033517
Episode 019/400 | Reward: 13.0 | Epsilon: 0.9092 | Loss: 0.026695
Episode 020/400 | Reward: 15.0 | Epsilon: 0.9046 | Loss: 0.038416
Episode 021/400 | Reward: 29.0 | Epsilon: 0.9001 | Loss: 0.281680
Episode 022/400 | Reward: 12.0 | Epsilon: 0.8956 | Loss: 0.155012
Episode 023/400 | Reward: 10.0 | Epsilon: 0.8911 | Loss: 0.107788
Episode 024/400 | Reward: 21.0 | Epsilon: 0.8867 | Loss: 0.136679
Episode 025/400 | Reward: 12.0 | Epsilon: 0.8822 | Loss: 0.120064
Episode 026/400 | Reward: 43.0 | Epsilon: 0.8778 | Loss: 0.107664
Episode 027/400 | Reward: 26.0 | Epsilon: 0.8734 | Loss: 0.098571
Episode 028/400 | Reward: 15.0 | Epsilon: 0.8691 | Loss: 0.093244
Episode 029/400 | Reward: 33.0 | Epsilon: 0.8647 | Loss: 0.099798
Episode 030/400 | Reward: 37.0 | Epsilon: 0.8604 | Loss: 0.095572
Episode 031/400 | Reward: 42.0 | Epsilon: 0.8561 | Loss: 0.293666
Episode 032/400 | Reward: 25.0 | Epsilon: 0.8518 | Loss: 0.174929
Episode 033/400 | Reward: 43.0 | Epsilon: 0.8475 | Loss: 0.178772
Episode 034/400 | Reward: 25.0 | Epsilon: 0.8433 | Loss: 0.139592
Episode 035/400 | Reward: 19.0 | Epsilon: 0.8391 | Loss: 0.161357
Episode 036/400 | Reward: 32.0 | Epsilon: 0.8349 | Loss: 0.123249
Episode 037/400 | Reward: 12.0 | Epsilon: 0.8307 | Loss: 0.156973
Episode 038/400 | Reward: 11.0 | Epsilon: 0.8266 | Loss: 0.139251
Episode 039/400 | Reward: 45.0 | Epsilon: 0.8224 | Loss: 0.141223
Episode 040/400 | Reward: 50.0 | Epsilon: 0.8183 | Loss: 0.135575
Episode 041/400 | Reward: 31.0 | Epsilon: 0.8142 | Loss: 0.257624
Episode 042/400 | Reward: 20.0 | Epsilon: 0.8102 | Loss: 0.127030
Episode 043/400 | Reward: 90.0 | Epsilon: 0.8061 | Loss: 0.144129
Episode 044/400 | Reward: 50.0 | Epsilon: 0.8021 | Loss: 0.130177
